date,number,animal,element
2025/2/1,39,兔,火
2025/2/2,48,马,火
2025/2/3,23,羊,木
2025/2/4,21,鸡,水
2025/2/5,29,牛,水
2025/2/6,25,蛇,金
2025/2/7,20,狗,土
2025/2/8,40,虎,火
2025/2/9,20,狗,土
2025/2/10,28,虎,土
2025/2/11,42,鼠,金
2025/2/12,37,蛇,木
2025/2/13,7,猪,木
2025/2/14,30,鼠,水
2025/2/15,12,马,金
2025/2/16,12,马,金
2025/2/17,18,鼠,火
2025/2/18,43,猪,水
2025/2/19,5,牛,土
2025/2/20,49,蛇,土
2025/2/21,10,猴,火
2025/2/22,11,羊,金
2025/2/23,25,蛇,金
2025/2/24,44,狗,水
2025/2/25,42,鼠,金
2025/2/26,20,狗,土
2025/2/27,31,猪,火
2025/2/28,24,马,木
2025/3/1,11,羊,金
2025/3/2,10,猴,火
2025/3/3,35,羊,土
2025/3/4,23,羊,木
2025/3/5,31,猪,火
2025/3/6,48,马,火
2025/3/7,12,马,金
2025/3/8,44,狗,水
2025/3/9,44,狗,水
2025/3/10,29,牛,水
2025/3/11,43,猪,水
2025/3/12,49,蛇,土
2025/3/13,40,虎,火
2025/3/14,3,兔,金
2025/3/15,35,羊,土
2025/3/16,9,鸡,火
2025/3/17,39,兔,火
2025/3/18,22,猴,水
2025/3/19,28,虎,土
2025/3/20,10,猴,火
2025/3/21,24,马,木
2025/3/22,38,龙,木
2025/3/23,34,猴,金
2025/3/24,28,虎,土
2025/3/25,20,狗,土
2025/3/26,35,羊,土
2025/3/27,30,鼠,水
2025/3/28,15,兔,木
2025/3/29,15,兔,木
2025/3/30,14,龙,水
2025/3/31,35,羊,土
2025/4/1,40,虎,火
2025/4/2,39,兔,火
2025/4/3,10,猴,火
2025/4/4,33,鸡,金
2025/4/5,20,狗,土
2025/4/6,34,猴,金
2025/4/7,31,猪,火
2025/4/8,3,兔,金
2025/4/9,20,狗,土
2025/4/10,42,鼠,金
2025/4/11,1,蛇,火
2025/4/12,38,龙,木
2025/4/13,32,狗,火
2025/4/14,6,鼠,土
2025/4/15,26,龙,金
2025/4/16,18,鼠,火
2025/4/17,46,猴,木
2025/4/18,27,兔,土
2025/4/19,3,兔,金
2025/4/20,47,羊,火
2025/4/21,45,鸡,木
2025/4/22,45,鸡,木
2025/4/23,46,猴,木
2025/4/24,38,龙,木
2025/4/25,3,兔,金
2025/4/26,23,羊,木
2025/4/27,47,羊,火
2025/4/28,36,马,土
2025/4/29,38,龙,木
2025/4/30,28,虎,土
2025/5/1,24,马,木
2025/5/2,33,鸡,金
2025/5/3,45,鸡,木
2025/5/4,10,猴,火
2025/5/5,49,蛇,土
2025/5/6,2,龙,火
2025/5/7,49,蛇,土
2025/5/8,13,蛇,水
2025/5/9,40,虎,火
2025/5/10,23,羊,木
2025/5/11,47,羊,火
2025/5/12,2,龙,火
2025/5/13,10,猴,火
2025/5/14,14,龙,水
2025/5/15,37,蛇,木
2025/5/16,9,鸡,火
2025/5/17,36,马,土
2025/5/18,41,牛,金
2025/5/19,14,龙,水
2025/5/20,11,羊,金
2025/5/21,13,蛇,水
2025/5/22,44,狗,水
2025/5/23,10,猴,火
2025/5/24,25,蛇,金
2025/5/25,17,牛,火
2025/5/26,14,龙,水
2025/5/27,32,狗,火
2025/5/28,2,龙,火
2025/5/29,41,牛,金
2025/5/30,40,虎,火
2025/5/31,38,龙,木
2025/6/1,10,猴,火
2025/6/2,43,猪,水
2025/6/3,26,龙,金
2025/6/4,45,鸡,木
2025/6/5,18,鼠,火
2025/6/6,23,羊,木
2025/6/7,5,牛,土
2025/6/8,31,猪,火
2025/6/9,11,羊,金
2025/6/10,16,虎,木
2025/6/11,1,蛇,火
2025/6/12,23,羊,木
2025/6/13,13,蛇,水
2025/6/14,47,羊,火
2025/6/15,41, 牛,金
2025/6/16,9,鸡,火
2025/6/17,16,虎,木
2025/6/18,7,猪,木
2025/6/19,33,鸡,金
2025/6/20,47,羊,火
2025/6/21,36,马,土
2025/6/22,38,龙,木
2025/6/23,39,兔,火
2025/6/24,30,鼠,水
2025/6/25,36,马,土
2025/6/26,4,虎,金
2025/6/27,27,兔,土
2025/6/28,24,马,木
2025/6/29,29,牛,水
2025/6/30,23,羊,木
2025/7/1,42,鼠,金
2025/7/2,33,鸡,金
2025/7/3,28,虎,土
2025/7/4,5,牛,土
2025/7/5,8,狗,木
2025/7/6,45,鸡,木
2025/7/7,15,兔,木
2025/7/8,17,牛,火
2025/7/9,18,鼠,火
2025/7/10,29,牛,水
2025/7/11,45,鸡,木
2025/7/12,24,马,木
2025/7/13,29,牛,水
2025/7/14,25,蛇,金
2025/7/15,14,龙,水
2025/7/16,34,猴,金
2025/7/17,43,猪,水
2025/7/18,10,猴,火
2025/7/19,47,羊,火
2025/7/20,47,羊,火
2025/7/21,20,狗,土
2025/7/22,18,鼠,火
2025/7/25,30,鼠,水
2025/7/26,1,蛇,火
2025/7/27,10,猴,火
2025/7/28,24,马,木
2025/7/29,9,鸡,火
2025/7/30,13,蛇,水
2025/7/31,15,兔,木
2025/8/1,2,龙,火
2025/8/2,18,鼠,火
2025/8/3,11,羊,金
2025/8/4,15,兔,木
2025/8/5,21,鸡,水
2025/8/6,23,羊,木
2025/8/7,46,猴,木
2025/8/8,23,羊,木
2025/8/9,9,鸡,火
2025/8/10,8,狗,木
2025/8/11,8,狗,木
2025/8/12,43,猪,水
2025/8/13,25,蛇,金
2025/8/14,16,虎,木
2025/8/15,32,狗,火
2025/8/16,31,猪,火
2025/8/17,40,虎,火
2025/8/18,15,兔,木
2025/8/19,2,龙,火
2025/8/20,39,兔,火
2025/8/21,38,龙,木
2025/8/22,42,鼠,金
2025/8/23,37,蛇,木
2025/8/24,13,蛇,水
2025/8/25,42,鼠,金
2025/8/26,39,兔,火
2025/8/27,2,龙,火
2025/8/28,46,猴,木
2025/8/29,4,虎,金
2025/8/30,28,虎,土
2025/8/31,1,蛇,火
2025/9/1,34,猴,金
2025/9/2,8,狗,木
2025/9/3,24,马,木
2025/9/4,44,狗,水
2025/9/5,6,鼠,土
2025/9/6,25,蛇,金
2025/9/7,12,马,金
2025/9/8,35,羊,土
2025/9/9,23,羊,木
2025/9/10,33,鸡,金
2025/9/11,17,牛,火
2025/9/12,42,鼠,金
2025/9/13,48,马,火
2025/9/14,28,虎,土
2025/9/15,38,龙,木
2025/9/16,47,羊,火
2025/9/17,3,兔,金
2025/9/18,33,鸡,金
2025/9/19,44,狗,水
2025/9/20,38,龙,木
2025/9/21,43,猪,水
2025/9/22,10,猴,火
2025/9/23,41,牛,金
2025/9/24,29,牛,水
2025/9/25,10,猴,火
2025/9/26,31,猪,火
2025/9/27,35,羊,土
2025/9/28,6,鼠,土
2025/9/29,36,马,土
2025/9/30,4,虎,金
2025/10/1,44,狗,水
2025/10/2,45,鸡,木
2025/10/3,9,鸡,火
2025/10/4,16,虎,木
2025/10/5,28,虎,土
2025/10/6,27,兔,土
2025/10/7,42,鼠,金
2025/10/8,47,羊,火
2025/10/9,41,牛,金
2025/10/10,45,鸡,木
2025/10/11,41,牛,金
2025/10/12,24,马,木
2025/10/13,3,兔,金
2025/10/14,34,猴,金
2025/10/15,14,龙,水
2025/10/16,42,鼠,金
2025/10/17,19,猪,土
2025/10/18,44,狗,水
2025/10/19,2,龙,火
2025/10/20,47,羊,火
2025/10/21,18,鼠,火
2025/10/22,5,牛,土
2025/10/23,22,猴,水
2025/10/24,44,狗,水
2025/10/25,23,羊,木
2025/10/26,49,蛇,土
2025/10/27,40,虎,火
2025/10/28,5,牛,土
2025/10/29,22,猴,水
2025/10/30,15,兔,木
2025/10/31,48,马,火
2025/11/1,42,鼠,金
2025/11/2,17,牛,火
2025/11/3,20,狗,土
2025/11/4,39,兔,火
2025/11/5,6,鼠,土
2025/11/6,16,虎,木
2025/11/7,37,蛇,木
2025/11/8,14,龙,水
2025/11/9,38,龙,木
2025/11/10,23,羊,木
2025/11/11,4,虎,金
2025/11/12,24,马,木
2025/11/13,18,鼠,火
2025/11/14,6,鼠,土
2025/11/15,45,鸡,木
2025/11/16,28,虎,土
2025/11/17,23,羊,木
2025/11/18,47,羊,火
2025/11/19,9,鸡,火
2025/11/20,15,兔,木
2025/11/21,4,虎,金
2025/11/22,19,猪,土
2025/11/23,37,蛇,木
2025/11/24,3,兔,金
2025/11/25,17,牛,火
2025/11/26,36,马,土
2025/11/27,26,龙,金
2025/11/28,26,龙,金
2025/11/29,6,鼠,土
2025/11/30,46,猴,木
2025/12/1,44,狗,水
2025/12/2,17,牛,火
2025/12/3,9,鸡,火
2025/12/4,8,狗,木
2025/12/5,48,马,火
2025/12/6,26,虎,木
2025/12/7,6,鼠,土
2025/12/8,4,虎,金
2025/12/9,38,龙,木
2025/12/10,27,兔,土
2025/12/11,24,马,木
2025/12/12,3,兔,金
2025/12/13,13,蛇,水
2025/12/14,16,虎,木
2025/12/15,22,猴,水
2025/12/16,49,蛇,土
2025/12/17,4,虎,金
2025/12/18,44,狗,水
2025/12/19,1,蛇,
2025/12/20,30,鼠,水
2025/12/21,8,狗,木
2025/12/22,24,马,木
2025/12/23,49,蛇,土
2025/12/24,7,猪,木
2025/12/25,11,羊,金
2025/12/26,41,牛,金
2025/12/27,24,马,木
2025/12/28,23,羊,木
2025/12/29,26,龙,金
2025/12/30,12,马,金
2025/12/31,26,龙,金
2026/1/1,29,牛,水
2026/1/2,22,猴,水
2026/1/3,9,鸡,火
2026/1/4,45,鸡,木
2026/1/5,43,猪,水
2026/1/6,13,蛇,水
2026/1/7,41,牛,金
2026/1/8,21,鸡,水
2026/1/9,28,虎,土
2026/1/10,27,兔,土
2026/1/11,11,羊,金
2026/1/12,11,羊,金
2026/1/13,1,蛇,火
2026/1/14,26,龙,金
2026/1/15,31,猪,火
2026/1/16,6,鼠,土
2026/1/17,32,狗,火
2026/1/18,39,兔,火
2026/1/19,46,猴,木
2026/1/20,12,马,金
2026/1/21,42,鼠,金
2026/1/22,18,鼠,火
2026/1/23,47,羊,火
2026/1/24,28,虎,土
2026/1/25,37,蛇,木
2026/1/26,19,猪,土
2026/1/27,45,鸡,木
2026/1/28,3,兔,金
2026/1/29,1,蛇,火
2026/1/30,41,牛,金
2026/1/31,26,龙,金
2026/2/1,6,鼠,土
2026/2/2,41,牛,金
2026/2/3,19,猪,土
2026/2/4,27,兔,土
2026/2/5,1,蛇,火
2026/2/6,43,猪,水
2026/2/7,42,鼠,金
2026/2/8,11,羊,金
2026/2/9,28,虎,土
2026/2/10,36,马,土