period,actual,hit,bet,multiplier,recent_rate,is_boosted,balance
1,43,False,15.0,1.0,0.0,False,-15.0
2,25,False,15.0,1.0,0.0,False,-30.0
3,16,False,30.0,2.0,0.0,False,-60.0
4,32,False,45.0,3.0,0.0,False,-105.0
5,31,False,75.0,5.0,0.0,False,-180.0
6,40,False,120.0,8.0,0.0,False,-300.0
7,15,True,195.0,13.0,0.14285714285714285,False,116.0
8,2,True,15.0,1.0,0.25,False,148.0
9,39,False,15.0,1.0,0.2222222222222222,False,133.0
10,38,False,15.0,1.0,0.2,False,118.0
11,42,False,30.0,2.0,0.18181818181818182,False,88.0
12,37,False,45.0,3.0,0.16666666666666666,False,43.0
13,13,True,75.0,5.0,0.23076923076923078,False,203.0
14,42,False,15.0,1.0,0.21428571428571427,False,188.0
15,39,True,15.0,1.0,0.26666666666666666,False,220.0
16,2,True,15.0,1.0,0.3333333333333333,False,252.0
17,46,False,15.0,1.0,0.3333333333333333,False,237.0
18,4,True,15.0,1.0,0.4,False,269.0
19,28,False,15.0,1.0,0.4,False,254.0
20,1,True,15.0,1.0,0.4666666666666667,False,286.0
21,34,False,15.0,1.0,0.4666666666666667,False,271.0
22,8,True,15.0,1.0,0.4666666666666667,False,303.0
23,24,False,15.0,1.0,0.4,False,288.0
24,44,False,15.0,1.0,0.4,False,273.0
25,6,False,30.0,2.0,0.4,False,243.0
26,25,True,45.0,3.0,0.4666666666666667,False,339.0
27,12,False,15.0,1.0,0.4666666666666667,False,324.0
28,35,False,15.0,1.0,0.4,False,309.0
29,23,False,30.0,2.0,0.4,False,279.0
30,33,False,45.0,3.0,0.3333333333333333,False,234.0
31,17,False,75.0,5.0,0.26666666666666666,False,159.0
32,42,False,120.0,8.0,0.26666666666666666,False,39.0
33,48,False,195.0,13.0,0.2,False,-156.0
34,28,True,315.0,21.0,0.26666666666666666,False,516.0
35,38,False,15.0,1.0,0.2,False,501.0
36,47,False,15.0,1.0,0.2,False,486.0
37,3,False,30.0,2.0,0.13333333333333333,False,456.0
38,33,True,45.0,3.0,0.2,False,552.0
39,44,False,15.0,1.0,0.2,False,537.0
40,38,False,15.0,1.0,0.2,False,522.0
41,43,False,30.0,2.0,0.13333333333333333,False,492.0
42,10,False,45.0,3.0,0.13333333333333333,False,447.0
43,41,False,75.0,5.0,0.13333333333333333,False,372.0
44,29,False,120.0,8.0,0.13333333333333333,False,252.0
45,10,False,195.0,13.0,0.13333333333333333,False,57.0
46,31,False,315.0,21.0,0.13333333333333333,False,-258.0
47,35,False,510.0,34.0,0.13333333333333333,False,-768.0
48,6,True,825.0,55.0,0.2,False,992.0
49,36,False,15.0,1.0,0.13333333333333333,False,977.0
50,4,True,15.0,1.0,0.2,False,1009.0
51,44,True,15.0,1.0,0.26666666666666666,False,1041.0
52,45,False,15.0,1.0,0.26666666666666666,False,1026.0
53,9,False,15.0,1.0,0.2,False,1011.0
54,16,False,30.0,2.0,0.2,False,981.0
55,28,True,45.0,3.0,0.26666666666666666,False,1077.0
56,27,False,15.0,1.0,0.26666666666666666,False,1062.0
57,42,True,15.0,1.0,0.3333333333333333,False,1094.0
58,47,True,15.0,1.0,0.4,False,1126.0
59,41,True,15.0,1.0,0.4666666666666667,False,1158.0
60,45,True,15.0,1.0,0.5333333333333333,True,1190.0
61,41,False,16.5,1.1,0.5333333333333333,True,1173.5
62,24,False,16.5,1.1,0.5333333333333333,True,1157.0
63,3,True,33.0,2.2,0.5333333333333333,True,1227.4
64,34,False,16.5,1.1,0.5333333333333333,True,1210.9
65,14,False,16.5,1.1,0.4666666666666667,False,1194.4
66,42,True,30.0,2.0,0.4666666666666667,False,1258.4
67,19,False,15.0,1.0,0.4666666666666667,False,1243.4
68,44,True,15.0,1.0,0.5333333333333333,True,1275.4
69,2,False,16.5,1.1,0.5333333333333333,True,1258.9
70,47,True,16.5,1.1,0.5333333333333333,True,1294.1000000000001
71,18,False,16.5,1.1,0.5333333333333333,True,1277.6000000000001
72,5,False,16.5,1.1,0.4666666666666667,False,1261.1000000000001
73,22,False,30.0,2.0,0.4,False,1231.1000000000001
74,44,True,45.0,3.0,0.4,False,1327.1000000000001
75,23,False,15.0,1.0,0.3333333333333333,False,1312.1000000000001
76,49,False,15.0,1.0,0.3333333333333333,False,1297.1000000000001
77,40,False,30.0,2.0,0.3333333333333333,False,1267.1000000000001
78,5,True,45.0,3.0,0.3333333333333333,False,1363.1000000000001
79,22,True,15.0,1.0,0.4,False,1395.1000000000001
80,15,False,15.0,1.0,0.4,False,1380.1000000000001
81,48,False,15.0,1.0,0.3333333333333333,False,1365.1000000000001
82,42,True,30.0,2.0,0.4,False,1429.1000000000001
83,17,False,15.0,1.0,0.3333333333333333,False,1414.1000000000001
84,20,False,15.0,1.0,0.3333333333333333,False,1399.1000000000001
85,39,False,30.0,2.0,0.26666666666666666,False,1369.1000000000001
86,6,False,45.0,3.0,0.26666666666666666,False,1324.1000000000001
87,16,False,75.0,5.0,0.26666666666666666,False,1249.1000000000001
88,37,False,120.0,8.0,0.26666666666666666,False,1129.1000000000001
89,14,True,195.0,13.0,0.26666666666666666,False,1545.1000000000001
90,38,False,15.0,1.0,0.26666666666666666,False,1530.1000000000001
91,23,True,15.0,1.0,0.3333333333333333,False,1562.1000000000001
92,4,False,15.0,1.0,0.3333333333333333,False,1547.1000000000001
93,24,False,15.0,1.0,0.26666666666666666,False,1532.1000000000001
94,18,True,30.0,2.0,0.26666666666666666,False,1596.1000000000001
95,6,True,15.0,1.0,0.3333333333333333,False,1628.1000000000001
96,45,False,15.0,1.0,0.3333333333333333,False,1613.1000000000001
97,28,False,15.0,1.0,0.26666666666666666,False,1598.1000000000001
98,23,True,30.0,2.0,0.3333333333333333,False,1662.1000000000001
99,47,False,15.0,1.0,0.3333333333333333,False,1647.1000000000001
100,9,False,15.0,1.0,0.3333333333333333,False,1632.1000000000001
101,15,False,30.0,2.0,0.3333333333333333,False,1602.1000000000001
102,4,True,45.0,3.0,0.4,False,1698.1000000000001
103,19,False,15.0,1.0,0.4,False,1683.1000000000001
104,37,False,15.0,1.0,0.3333333333333333,False,1668.1000000000001
105,3,True,30.0,2.0,0.4,False,1732.1000000000001
106,17,False,15.0,1.0,0.3333333333333333,False,1717.1000000000001
107,36,False,15.0,1.0,0.3333333333333333,False,1702.1000000000001
108,26,False,30.0,2.0,0.3333333333333333,False,1672.1000000000001
109,26,False,45.0,3.0,0.26666666666666666,False,1627.1000000000001
110,6,True,75.0,5.0,0.26666666666666666,False,1787.1000000000001
111,46,False,15.0,1.0,0.26666666666666666,False,1772.1000000000001
112,44,False,15.0,1.0,0.26666666666666666,False,1757.1000000000001
113,17,True,30.0,2.0,0.26666666666666666,False,1821.1000000000001
114,9,True,15.0,1.0,0.3333333333333333,False,1853.1000000000001
115,8,False,15.0,1.0,0.3333333333333333,False,1838.1000000000001
116,48,False,15.0,1.0,0.3333333333333333,False,1823.1000000000001
117,26,True,30.0,2.0,0.3333333333333333,False,1887.1000000000001
118,6,True,15.0,1.0,0.4,False,1919.1000000000001
119,4,True,15.0,1.0,0.4666666666666667,False,1951.1000000000001
120,38,False,15.0,1.0,0.4,False,1936.1000000000001
121,27,False,15.0,1.0,0.4,False,1921.1000000000001
122,24,False,30.0,2.0,0.4,False,1891.1000000000001
123,3,True,45.0,3.0,0.4666666666666667,False,1987.1000000000001
124,13,False,15.0,1.0,0.4666666666666667,False,1972.1000000000001
125,16,False,15.0,1.0,0.4,False,1957.1000000000001
126,22,False,30.0,2.0,0.4,False,1927.1000000000001
127,49,False,45.0,3.0,0.4,False,1882.1000000000001
128,4,True,75.0,5.0,0.4,False,2042.1000000000001
129,44,True,15.0,1.0,0.4,False,2074.1000000000004
130,1,False,15.0,1.0,0.4,False,2059.1000000000004
131,30,False,15.0,1.0,0.4,False,2044.1000000000004
132,8,True,30.0,2.0,0.4,False,2108.1000000000004
133,24,True,15.0,1.0,0.4,False,2140.1000000000004
134,49,True,15.0,1.0,0.4,False,2172.1000000000004
135,7,False,15.0,1.0,0.4,False,2157.1000000000004
136,11,False,15.0,1.0,0.4,False,2142.1000000000004
137,41,False,30.0,2.0,0.4,False,2112.1000000000004
138,24,False,45.0,3.0,0.3333333333333333,False,2067.1000000000004
139,23,False,75.0,5.0,0.3333333333333333,False,1992.1000000000004
140,26,True,120.0,8.0,0.4,False,2248.1000000000004
141,12,False,15.0,1.0,0.4,False,2233.1000000000004
142,26,False,15.0,1.0,0.4,False,2218.1000000000004
143,29,False,30.0,2.0,0.3333333333333333,False,2188.1000000000004
144,22,True,45.0,3.0,0.3333333333333333,False,2284.1000000000004
145,9,False,15.0,1.0,0.3333333333333333,False,2269.1000000000004
146,45,False,15.0,1.0,0.3333333333333333,False,2254.1000000000004
147,43,False,30.0,2.0,0.26666666666666666,False,2224.1000000000004
148,13,True,45.0,3.0,0.26666666666666666,False,2320.1000000000004
149,41,False,15.0,1.0,0.2,False,2305.1000000000004
150,21,False,15.0,1.0,0.2,False,2290.1000000000004
151,28,False,30.0,2.0,0.2,False,2260.1000000000004
152,27,False,45.0,3.0,0.2,False,2215.1000000000004
153,11,True,75.0,5.0,0.26666666666666666,False,2375.1000000000004
154,11,False,15.0,1.0,0.26666666666666666,False,2360.1000000000004
155,1,True,15.0,1.0,0.26666666666666666,False,2392.1000000000004
156,26,True,15.0,1.0,0.3333333333333333,False,2424.1000000000004
157,31,False,15.0,1.0,0.3333333333333333,False,2409.1000000000004
158,6,False,15.0,1.0,0.3333333333333333,False,2394.1000000000004
159,32,False,30.0,2.0,0.26666666666666666,False,2364.1000000000004
160,39,False,45.0,3.0,0.26666666666666666,False,2319.1000000000004
161,46,False,75.0,5.0,0.26666666666666666,False,2244.1000000000004
162,12,True,120.0,8.0,0.3333333333333333,False,2500.1000000000004
163,42,False,15.0,1.0,0.26666666666666666,False,2485.1000000000004
164,18,False,15.0,1.0,0.26666666666666666,False,2470.1000000000004
165,47,False,30.0,2.0,0.26666666666666666,False,2440.1000000000004
166,28,True,45.0,3.0,0.3333333333333333,False,2536.1000000000004
167,37,False,15.0,1.0,0.3333333333333333,False,2521.1000000000004
168,19,False,15.0,1.0,0.26666666666666666,False,2506.1000000000004
169,45,False,30.0,2.0,0.26666666666666666,False,2476.1000000000004
170,3,False,45.0,3.0,0.2,False,2431.1000000000004
171,1,True,75.0,5.0,0.2,False,2591.1000000000004
172,41,True,15.0,1.0,0.26666666666666666,False,2623.1000000000004
173,26,False,15.0,1.0,0.26666666666666666,False,2608.1000000000004
174,6,True,15.0,1.0,0.3333333333333333,False,2640.1000000000004
175,41,False,15.0,1.0,0.3333333333333333,False,2625.1000000000004
176,19,False,15.0,1.0,0.3333333333333333,False,2610.1000000000004
177,27,True,30.0,2.0,0.3333333333333333,False,2674.1000000000004
178,1,True,15.0,1.0,0.4,False,2706.1000000000004
179,43,False,15.0,1.0,0.4,False,2691.1000000000004
180,42,True,15.0,1.0,0.4666666666666667,False,2723.1000000000004
181,11,True,15.0,1.0,0.4666666666666667,False,2755.1000000000004
182,28,True,15.0,1.0,0.5333333333333333,True,2787.1000000000004
183,36,False,16.5,1.1,0.5333333333333333,True,2770.6000000000004
184,16,False,16.5,1.1,0.5333333333333333,True,2754.1000000000004
185,13,False,33.0,2.2,0.5333333333333333,True,2721.1000000000004
186,19,True,49.50000000000001,3.3000000000000003,0.5333333333333333,True,2826.7000000000003
187,1,True,16.5,1.1,0.5333333333333333,True,2861.9
188,3,True,16.5,1.1,0.6,True,2897.1
189,39,True,16.5,1.1,0.6,True,2932.2999999999997
190,24,False,16.5,1.1,0.6,True,2915.7999999999997
191,13,True,16.5,1.1,0.6666666666666666,True,2950.9999999999995
192,23,False,16.5,1.1,0.6,True,2934.4999999999995
193,1,True,16.5,1.1,0.6,True,2969.6999999999994
194,38,False,16.5,1.1,0.6,True,2953.1999999999994
195,15,False,16.5,1.1,0.5333333333333333,True,2936.6999999999994
196,48,False,33.0,2.2,0.4666666666666667,False,2903.6999999999994
197,14,False,45.0,3.0,0.4,False,2858.6999999999994
198,48,False,75.0,5.0,0.4,False,2783.6999999999994
199,23,True,120.0,8.0,0.4666666666666667,False,3039.6999999999994
200,31,False,15.0,1.0,0.4666666666666667,False,3024.6999999999994
